No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
30,Tyjuan Able,RB,FR,5-7,190,"Mobile, AL",St. Paul's Episcopal
30,Nasir Bashir,CB,FR,6-0,185,"Atlanta, GA",Fayette County
97,Wilson Beaverstock,PK,JR,6-0,205,"Mobile, AL",St. Paul's Episcopal
79,Trey Bedosky,OL,SO,6-6,295,"Fairborn, GA",Landmark Christian
29,Lee Beebe,RB,FR,5-10,205,"Montgomery, AL",Park Crossings
56,Brennan Blake,OLB,FR,6-3,245,"West Blocton, AL",West Blocton
21,Will Boler,S,SR,6-0,215,"Opelika, AL",Opelika
8,Dexter Boykin,WR,SR,6-3,215,"Fairfield, AL",Fairfield / North Alabama
64,Elliot Bradshaw,OL,JR,6-4,255,"Jemison, AL",Hope Christian / Jefferson State
6,Jackson Bratton,LB,SO,6-3,235,"Muscle Shoals, AL",Muscle Shoals / Alabama
16,AJ Brown,S,FR,6-0,190,"Marietta, GA",Walton
51,Tamarious Brown,LB,SO,6-2,230,"Memphis, TN",Kirby
1,Jermaine Brown Jr.,RB,JR,5-8,185,"Prichard, AL",St. Luke's Episcopal
80,Maleak Bryant,TE,JR,6-6,245,"Atlanta, GA",Mays / Garden City
43,Reese Burkhardt,PK,SO,6-1,210,"Andalusia, AL",Andalusia
20,Devodric Bynum,CB,SR,5-11,195,"Dallas, TX",Lincoln / Northeastern Oklahoma A&M
60,Therion Cannon,OL,FR,6-3,270,"Ridgeland, SC",Thomas Heyward
96,Alvino Carbajal III,DL,JR,6-2,320,"Austin, TX",McCallum / Trinity Valley
12,Grayson Cash,S,SR,6-0,200,"Trussville, AL",Hewitt-Trussville
13,Reise Collier,LB,JR,6-2,225,"Midwest City, OK",Carl Albert / Coffeyville CC
52,Montaj Cook,DL,FR,6-1,300,"Alabaster, AL",Thompson
90,Matthew Craig,DL,FR,6-1,270,"Jacksonville, FL",Mandrin
38,Mike Crawford,TE,FR,6-3,245,"Spanish Fort, AL",Spanish Fort
33,Jarrett Crockett,RB,FR,5-10,195,"Alabaster, AL",Thompson
26,Taven Curry,RB,FR,6-1,200,"Loxley, AL",Robertsdale
88,Brody Dalton,TE,FR,6-5,250,"Fyffe, AL",Fyffe
48,Bryce Damous,TE,JR,6-2,230,"Huntington, WV",Huntington HS / Garden City
3,CD Daniels,CB,SR,6-2,185,"Birmingham, AL",Homewood
46,Charles Daniels III,LB,FR,6-2,225,"Plano, TX",John Paul II
86,Teddy Davenport,WR,FR,5-10,175,"Alpharetta, GA",Denmark
6,Ryan Davis,WR,JR,5-11,185,"Roswell, GA",Blessed Trinity Catholic
33,Colby Dempsey,CB,SO,5-10,180,"West Palm Beach, FL",St. Thomas Aquinas
10,Nikia Eason Jr.,OLB,JR,6-4,220,"Bessemer, AL",Bessemer
39,Xander Echols,LS,FR,6-0,215,"Chelsea, AL",Chelsea
25,Reynard Ellis,LB,SR,6-0,240,"Birmingham, AL",Shades Valley / Georgia Southern
57,Arturo Escamilla,OL,FR,6-2,310,"Cleveland, AL",Cleveland
93,Michael Fairbanks II,OLB,JR,6-3,265,"Powder Springs, GA",McEachern
2,Fred Farrier II,WR,FR,6-1,185,"Frankfort, KY",Franklin County
17,Carl Fauntroy Jr.,S,FR,6-1,180,"Mobile, AL",Spanish Fort
54,Zaire Flournoy,OL,SO,6-3,300,"Douglasville, GA",Chapel Hill
44,Isaiah Forte,DL,SR,6-3,305,"Montgomery, AL",Carver-Montgomery / Northeast Mississippi CC
28,Brandon Franklin,LB,FR,6-1,230,"Alabaster, AL",Thompson
23,A.J. Gates,RB,JR,5-7,195,"Birmingham, AL",Mountain Brook / Alabama
95,Joker Gill,DL,JR,6-5,275,"Philadelphia, MS",Neshoba Central / Mississippi Gulf Coast CC
40,Charlie Goode,LB,FR,6-3,225,"Homewood, AL",Homewood
97,Justin Goodwin,DL,FR,6-3,275,"Birmingham, AL",Huffman / FAU
49,Kyle Gould,S,FR,6-2,200,"Mobile, AL",Mary G. Montgomery
98,Kyle Greenwell,P,SR,6-1,210,"Thompson's Station, TN",Independence HS
58,Ryan Gunter,OL,FR,6-5,315,"Trussville, AL",Hewitt-Trussville
65,Tennyson Hadfield,OL,FR,6-5,280,"Logan, UT",Logan / Dixie State
35,Savion Hadley,WR,FR,5-8,160,"Bessemer, AL",McAdory
36,Keon Handley Jr.,CB,FR,5-10,190,"Fairfield, AL",Fairfield
87,Connor Harby,WR,FR,6-2,180,"Victor, NY",Hoover
9,Kyle Harrell,OLB,SR,6-1,225,"Calera, AL",Calera / West Point Prep
82,Mustafa Hefner,WR,FR,5-10,160,"Marietta, GA",Walton
0,Iverson Hooks,WR,FR,5-10,170,"Pike Road, AL",Pike Road
9,Dylan Hopkins,QB,JR,6-2,215,"Maryville, TN",Maryville
98,Tyrique Howard,DL,JR,6-6,340,"Independence, MS",Itawamba CC
32,Kybo Jamerson,OLB,FR,6-1,215,"Longview, TX",Longview
